Filename,Latitude,Longitude,Elevation
P1820494.JPG,375453094423/36000000000,-3024347990507/36000000000,115.61015319824219
P1910614.JPG,25030886299/2400000000,-151216874077/1800000000,113.96888732910156
P1930648.JPG,375448360303/36000000000,-1008121207111/12000000000,114.79850769042969
P1840518.JPG,375470273297/36000000000,-1008121488443/12000000000,113.43558502197266
P1810477.JPG,75095123797/7200000000,-47255308523/562500000,116.77818298339844
P1900608.JPG,187735365049/18000000000,-24194526731/288000000,114.22816467285156
P1840512.JPG,187748029417/18000000000,-3024364467247/36000000000,113.6548843383789
P1810480.JPG,93872130863/9000000000,-756084937031/9000000000,116.5958251953125
P1910610.JPG,11733226417/1125000000,-378039995329/4500000000,114.27721405029297
P1810472.JPG,9386356931/900000000,-120973589501/1440000000,116.61595153808594
P1890588.JPG,125159424007/12000000000,-168019235613/2000000000,113.67092895507812
P1890587.JPG,10429951867/1000000000,-3024341876813/36000000000,113.61034393310547
P1800461.JPG,375474542587/36000000000,-168018416627/2000000000,115.99259185791016
P1910615.JPG,37546330207/3600000000,-84009496567/1000000000,113.97349548339844
P1810474.JPG,93865687321/9000000000,-1512169871053/18000000000,116.95446014404297
P1850530.JPG,23466422939/2250000000,-252031058729/3000000000,114.07274627685547
P1890591.JPG,93869576207/9000000000,-42004991641/500000000,113.84262084960938
P1890584.JPG,375478240087/36000000000,-604865784539/7200000000,113.67596435546875
P1900600.JPG,187735388923/18000000000,-21002433503/250000000,114.67532348632812
P1940653.JPG,375440886563/36000000000,-756090857483/9000000000,114.9262466430664
P1820492.JPG,187730845987/18000000000,-604869599731/7200000000,116.09976959228516
P1830506.JPG,375479958389/36000000000,-3024356221519/36000000000,114.78115844726562
P1920635.JPG,187727890469/18000000000,-67207106529/800000000,115.43827056884766
P1860542.JPG,93875219659/9000000000,-756089740619/9000000000,113.61869812011719
P1890583.JPG,62579705669/6000000000,-504054066181/6000000000,113.65983581542969
P1840515.JPG,375483099397/36000000000,-756091113911/9000000000,113.17544555664062
